Stars,Reviews
4.0 out of 5 stars,"i bought the bag to be able to stash my wallet and keys in while riding but wanted something slim i wouldn't notice on the bike. this bag fit perfect on my trek marlin 5. build seems okay, my only worry is the longevity of the velcro in dusty/dirty conditions but time will tell."
5.0 out of 5 stars,"as opposed to what others have mentioned, the straps actually do hold very tightly and i mountain bike very hard and rough on my bike. the people that said they were loose didn't know how to put the straps on properly. although to be fair, i'm not an engineer and had to call my engineer friend from work to show me how to strap them on properly (i felt extremely dumb even though i'm normally good mechanically). my pride and dignity aside, they don't strap on like any other strap i've ever put on, but they work perfectly!100% satisfied! just make sure if you have a waterbottle holder, that the dimensions of this won't collide. my bike's geometry does cause it to collide a bit, but practically speaking is not an issue. i couldn't find anything else on the market that was big enough like this one and actually worked well. would recommend"
5.0 out of 5 stars,bought for my wife for her charge fat tire bike to carry small items - mainly cell phone. the behind the seat bag on her road and cross bikes wouldn't work because of rear fender and lower seat height. this is much handier for her anyway. i'll probably get one for my fat tire bike too.
5.0 out of 5 stars,"this unit might not be for you because it is fairly large but so far i have found it to be very good. i keep a hex head tool, canister inflater, tire removal levers, and patches in it as well as car keys. it has a net inside to allow one to minimally organize items. zipper is on the edge of the top for easy access when mounted. good quality material. and the velcro straps work well on my aluminum tubes. an added plus is the gap between the top tube and seat tube that accommodates the prong on my allen hitch-mounted bicycle carrier. my top tube is horizontal so you may not have such a gap on a sloped top tube. so far i like it the best of the carrier gizmos i've tried. if you carry a water bottle on the seat tube it will probably get in the way. i carry mine of the down tube."
3.0 out of 5 stars,"this item is sturdy and will likely last. however.1. one really can't open it when it is mounted.2. with my bike rack, the item must be removed to mount the bike (that's on me for not recognizing before purchase).3. the mounting bracket the attaches to the seat post immediately took paint off. i don't care given that my bike is roughly handled, but many would care about this.if i buy something similar again, it will be one of those little bags that hangs under the seat."
2.0 out of 5 stars,"i’ve never seen such a poorly designed item that received 5 stars.here are the problems with it:1) the velcro straps are not suitable for small to medium diameter frame bars. if you try to install on a small diameter bar, the strap will wrap around so far that it won’t match up the velcro to the catchy part. this means you have to loosen the strap but then the bag moves around and isn’t secure.2) the velcro straps are reversed. they should have the ends wind up on the opposite side of where the zipper opens up. as it is, the strap ends dangle in front of the zipper and are a nuisance when trying to reach your hand in there.3) be warned that the “red” color is more of a burnt orange, not a true red.4) there was some messy stitching on this bag which is easily visible and i wouldn’t count on it lasting."
3.0 out of 5 stars,"disclaimer: i did have something heavy in the bag. however, it only lasted a week riding around a college campus with this heavy thing secured inside and all the velcro loops securely attached as they are designed to do. one of the plastic buckle-ish-things that hold the velcro straps together (i.e., the piece that makes the strap a strap) broke during a pretty normal ride. i hit plenty of bumps, but the bag has enough space to hold much more weight and therefore be studied in my opinion.speaking of space, it is quite roomy and attached quite well. it did not move around much, and i think with less than 3 or 4 lbs of stuff inside, it might hold up very well. i did not test its waterproofness. i liked the concept and design of the bag. i have made/modified many storage pouches for backpacks, tactical vests, web belts, etc., so i will testify that the materials of this bag are its killer. if you want something that will last and hold up to anything forceful or stressful on its components... this is probably not your bag. it is not durable nylon or plastic and the stitches are not very neat either."
2.0 out of 5 stars,"with much anticipation, waited for the color i wanted to get of this bag. upon mounting, realized it's quite large and roomy, which is great and all, but if you have any sort of water bottle holder? fuhgetaboutit! just won't fit right, and if you wedge it between the bottle holder, it will push it's way to the left of the frame, off center. to make matters worse, i was trying to adjust the fit, when one of the very thin plastic clips that the velcro loops through broke, making it sag even more, and making it worthless to me now. 2 stars because it's a nice bag with a lot of room, but cheap components to mount with. what a disappointment!"
4.0 out of 5 stars,"the first thing i found out, after installing before a 45 mile ride (reason i needed a bigger bag) was that when mounted inside the frame, under the seat post, the vertical bottle holder on the seat post frame was not useable. so while i have 2 bottle holders, only the forward more angular one was useable. the bag is long and make even a short bottle a not worth it option. however, the bag does its job and holds a lot of stuff, and compliments an under seat (off the back) bag perfectly. used it to hold a couple energy bars, some gel chews, my phone... and when halfway i took my sleeves off and put them in the bag too. it was secure and didn't wobble around. so, a very good purchase, but the extra bottle loss can be a big deal to some..."
5.0 out of 5 stars,"the bag was delivered very quickly. it seems to be of good quality with strong velcro straps, sturdy fabric, and a smooth working zipper. it is easy to mount to the bike and stays in place perfectly. there is some stiffness to the fabric and gravity does the rest to keep it where it belongs. i hardly know it is there but it is large enough to hold my phone, lip balm, wallet, keys, sunglasses and room for more.bike clothes are not known for an abundance of pockets so this bag lets me take the items i need in a compact and secure manner.edit: i have had this bag for a year now. it is still as good as new even after 3000 miles of sun and rain exposure. it does fade a little but a treatment of '303 protectant' brings is back to new (temporarily). i now have a second one for my second bike."
3.0 out of 5 stars,"i've had this bag for 13 months and i just replaced it with something else (it's seen ~2,000 miles of road time). still technically works, but it's starting to fail in the place i was initially worried about upon buying it... the top tube strap attachment points. i just don't think you can use this design with a bag with this much volume. either it gets filled with stuff that weighs it down, pulling at those attachment points, or you don't put that much in it, and it flops around, pulling at those attachment points. the bag i replaced it with has molle-type loops with separate velcro straps, which i feel does a better job of distributing the weight on the stitching."
1.0 out of 5 stars,"the color i received was nothing like the golden yellow that is pictured. instead, what i received is a pale faded out yellow with an odd neon green tinge. the packaging shows that sporty neon green color, the seller’s picture shows a rich golden yellow, and the product itself is neither color! i would’ve taken one color or the other but this is coloration is so appauling i can’t even stand it on my bike. now i get to experience the pleasure to return the item at my convenience because the seller is misrepresenting the product. the picture is a complete misrepresentation of what you will receive if you order the yellow."
3.0 out of 5 stars,"my biggest pet peeve is that it’s hard to center with the seat tube. it attaches to the frame fine and takes some trimming depending on your bike, but the attachment that secures to the seat tube is too far up on the bag, causing the bottom portion of the case to sway back and forth while riding, or just be lopsided. i only carry a tool, my lights and a small back up pump so it’s not a lot of weight. i would love to be able to fit my lock in there too but there isn’t quite enough room. i guess you get what you pay for, i just don’t like that sometimes it gets lopsided enough to where my foot and/or leg brush against it from time to time."
4.0 out of 5 stars,"this is exactly what i needed to keep clutter out of my pockets while riding. i can hold my phone, keys, wallet, and even sunglasses no problem. the only bummer is i have to detach this when putting my bike on my hitch rack when driving. other than that the three straps take little time to reattach. my rides are much more enjoyable without stuff in my pockets. i do not ride in the rain therefore cannot comment on weather resistance.**update** dec. 2020 - i have owned this for 9 months. the straps that attach to my bike frame are loose now. i took one star away because it could be sewn better. i am using safety clips now. eventually i will need to replace product as i feel it is not meant to last for years."
4.0 out of 5 stars,"i just bought a $3k e-bike (electric bike), & have enhanced it with remote-controlled turn signals, a gps unit, & even custom-designed foot pegs! along the way, i've put together an entire set of tools to adjust everything. i was looking for a bicycle pouch that wouldn't get in the way of riding, & this pouch is perfect! took < 1 minute to install. only problem is that the fuller it is, the harder it is to open & close. however, because everything else is just right for my needs, only loses 1*.highly recommended, especially if you don't want bulky saddle bags poking out from the frame of your bike / e-bike!"
4.0 out of 5 stars,"not a bad frame triangle bag. the velcro straps are long enough to go around thicker bike frame tubes and it sits fairly well on the bike with sloping top tube. not perfect, but not bad. the size of the bag is okay, and the volume inside is more than expected by looking at it... the way the velcro is mounted to the bag doesn't look like it will stand the test of time, but only time will tell. the material is okay for this price point. the bag is okay for this price point.better than nashbar's triangle bag... what a piece of junk that is... they use to sell good bags, but not anymore.we'll see how it holds up over time."
3.0 out of 5 stars,"bought this for an old schwinn road bike. the straps are long enough that when pulled tight they can not fasten. i have to double them around, and the hook and loop fastener is only making about a square centimeter of contact. i will probably cut the straps and sew them back on after removing some as it doesn't seem like this will be very secure on a bumpy road.the bag seems pretty low quality all around but sufficient for its intended purpose."
4.0 out of 5 stars,"this bag is pretty large. it has lots of room. it only seems to fit under the seat of my bike, the straps are not optional to place it on the front. the zipper is on the left side so you can only open it from the left because of how it has to be installed due to where the straps are. therefore, i have to get off my bike to get something out of it. it's a good bag however, the 2 things i don't care for are where it can be installed and the opening on the wrong side for me. otherwise there's plenty of room to put things in it. i'll get used to the downfalls."
4.0 out of 5 stars,"i bought two of these in hopes that i could use on my bike and grandsons. unfortunately, because of where the bars are place and where the zipper opens they did not fit. but that being said, i wish they would have fit because they seemed very well made and if they would have fit, i would have liked them. didn't put them in a rain storm but the zipper seems very snug and the velcro adheres well for a snug fit on the bike. loved the colors as well. i could get it on the one bike but the zipper pointed down so if i would have stored anything in it, when unzipped it would have all fallen out. might be great for a mens bike but unisex and women's the straps are not placed to where it will fit. i returned and got a refund very quickly which says a lot for the seller!!"
2.0 out of 5 stars,"i was happy when i received and started using in july 2020, it's now september and bike pack is starting to fall apart. noticed a small hole developing after less than two months! would i order one again, maybe, if it was better built. if the developer/creator wants to make a better bag, use better fabric and stitching. may i also recommend that once you unzip this is one big bag, meaning no inside pockets or elastic to hold keys or hold clip.i would not order this product again without being reworked and of course it's too late to return."
3.0 out of 5 stars,"for what it is, a flimsy pouch, it's very much overpriced. it does the job, so it will work just fine for my needs. the velcro straps seem to be made for thicker frames and are too large for smaller ones. i had to give it some slack to properly secure the velcro and then i had to cute the end of the strap short. the item has a strong distinct petroleum based chemical smell, which is probably not safe in the long run. i suspect that this has to do with their waterproof coating. as long as you don't touch it too much and keep it on your bike, it should be fine."
4.0 out of 5 stars,"i've ridden several hundred miles with the bag. my only problem is that it hangs down far enough that i can not get a water bottle into the holder on the seat tube. i have a large (60 cm) frame with a horizontal top tube. i'd guess everyone will have the same problem. however, it does hold tools, an inflator with spare cartridges, a couple of tubes, wallet, and phone. it has a nice inner pocket to help keep thing separated. it stays out of my way when riding, but is easier to access than a bag mounted behind the seat."
4.0 out of 5 stars,"i bought this bag for my wife's new specialized street-mountain bike to replace an old under-the-seat bag that interfered with a new rear light. initially i was worried that this new bag would not fit well in the frame at the seat post end because the angle was not 90 degrees. but, it did fit well, and is successful. the reason i don't give this 5 stars is that the velcro loops for attaching to the frame are really intended for round frame tubes. the new bike has a wide oval frame tube for the cross bar. it works, but this arrangement leads to some interference between the zipper and frame tube. realizing this, i can arrange the velcro to mostly keep the zipper away from the frame. i am still considering if i should add some friction tape on the frame, but i don't like the idea of the glue on the tape getting gummy in summer heat. the manufacturer should consider an updating the design to prevent contact between the frame and the zipper and accommodate non-round frame tubes. as a small aside, the purple trim on the pouch matches the deep purple frame color on the new bike."
5.0 out of 5 stars,"i purchased this bag to carry my on the road tools while i’m out on my bicycle, it works like a charm the straps keep it in place firmly i have not had to adjust once yet and i’ve had it for over a month on average i ride 13 miles per day.it’s currently carrying a mini bike pump, tire patches, and a bicycle repair tool, as well as my charging cord for my bicycle light. in addition to those things it was able to carry all of those items plus my phone, car keys and wallet with no issues.if you are planning on being a serious cyclist you will need to carry emergency equipment and tools and you would need a bag like this for your journey/adventures. i would highly recommend this bag, the material is nice and sturdy. i don’t ride in the rain but if i did i’m fully confident that the bag would not deteriorate.i hope you find this review helpful."
2.0 out of 5 stars,"if i had bought this for myself and used it to carry keys or my cell phone, then i'd give this a higher review as it does attach easily and does carry stuff that you'd rather not keep in your pocket. the trouble is that i bought this for my developmentally disabled brother. when my parents passed away and i became his guardian he was 272 lbs. i got him into a gym with a personal trainer, worked with a nutritionist to change his diet, and promised him a red trek electric bicycle (his dream) if he got to 199 lbs. he did it, but the bike is expensive, so i got him an expensive chainlock and this case to hold it. it fits in the case nicely, but after two weeks the straps started coming loose from the case. i fastened them back with stove bolts and they held nicely, but then the zipper broke and is just not repairable. i gave it two stars because i feel people who give one star lose credibility because they sound like mr. crankypants. i'm not cranky and i'm not saying don't buy this. just don't expect much from it."
2.0 out of 5 stars,"i bought a couple of these because the reviews looked good, but am really not happy with them. few things i'd change:* the velcro needs to be shorter so it's possible to get it tight on the bike frame.* the seat tube velcro needs to be closer to the bottom of the bag to keep it from swinging.* the rear top tube velcro needs to be further back, again, to keep the bag from swinging* the three velcro pieces need to be centered on the width of the bag. as it is, the bag sticks out an inch further to one side of the bike frame because the velcro is offset."
4.0 out of 5 stars,"i am a diabetic. when i ride, i need to take my blood testing kit, snacks, glucose gel packets, keys, id, money, and my phone—too much for comfortably stuffing in pockets. this storage bag holds it all comfortably. it is easy to put on and take off the bike so i can use it as a purse if we stop for a bite to eat somewhere. the fabric is tough—which is good, except that if i get the bag too full, my legs rub against it as i ride, so the rough fabric rubs my skin. newer versions could maybe have a smooth nylon outside layer? but all in all, this is exactly what i needed."
5.0 out of 5 stars,"a very nice bag perfect for larger phones. i have one with a 6 in screen and the bags easily holds the phone, keys, money, bike tool, and, in today's world, a mask and gloves. i could also add a puncture repair kit if i wanted. the bag seems well made. i have not tried it in the rain so i don't know how waterproof it is. the only possible downside to its size is that it restricts the size of water bottle that could be carried in the rear bracket to the very shortest ones. not a problem for me as i only carry one bottle."
4.0 out of 5 stars,"i like the size of this case because it allows for a lot of stuff to carry and the zipper being on the top is nice to keep it from opening and losing stuff.my only comment is the velcro straps are weird in how they fasten. they are long, which is good because it accounts varying distances and bar sizes, however the way they fasten seems to be upside down. when i wrap, there is only a small surface of velcro that grabs, so not certain of how bumpy rides may affect the strength of grip."
5.0 out of 5 stars,"my first time having a bike since childhood and i was really excited to find this storage back. it's a great size to hold my wallet, gate opener, and keys. actually has a good bit of space where i could add a few more items if needed. it is not secure, however. if you are going to park your bike and run into a store or building you should take out the contents because there is no way to add a lock. even if you could lock it - it is easily removed from the bike so i would not suggest leaving valuables unattended in this pouch. serves it's purpose, sturdy and useful. i have not tried it in the rain so i do not know if it is waterproof or not. great find!"
4.0 out of 5 stars,"so i’ve only had a short time but so far so good. 2 secs to put on and looks good. the mesh pocket separator within is a nice touch for cell phone or wallet. plenty of additional room for keys, etc. only negative is that to close or open the zipper requires 2 hands for me. i’d like to keep one hand on bike and open with other but no good."
5.0 out of 5 stars,"this order is waiting to replace the one in use already. its been over two years but i can see that the attach straps are on the verge of tearing loose from the bag itself. too bad. the bag is in a1 shape and if not for the straps could easily last another two years.its been a good bag for the storage of tools, oil, patches, extra tube etc etc.very good in wet weather. where i live showers are a givin.other than that its a good bag."
5.0 out of 5 stars,"what a neat storage bag fits great and really easy to use. nice color and that new nylon feel. the straps are easy to work with. but, made in china sucks when it could be made in the usa instead! that's another story. i also like the little fish-net pocket inside the storage bag. theres not much to say about a bicycle storage bag thats a triangle shaped as the official pictures shows. it is recommended and its really cool and i love it!"
4.0 out of 5 stars,"looks nice. appears to be quite rugged. attaches very easily to a bike. lots of extra in each strap to go around thicker bars or compensate for different angles. stays in the middle. away from feet and legs. so far i have only put my cable bike lock and a small bottle of water (250ml) into it. but there is still more space, will have to get a small bike repair kit to add. will hold a 500ml bottle and a few other things. it can move around a bit when attached so if you bump it, it might go out of place, but won't detach. but as long as you don't touch it it stays where it is. and is easily nudged back into place. nice pouch. i'd say 4.5 stars, but it won't let me."
1.0 out of 5 stars,"looks cheap. made kind of cheap. the velcro straps get in the way of the brake cable. buy the ibera bag instead. it is much nicer. and the way the straps are sewn on the ibera, it does not interfere at all with the brake cable. i ordered both bags because i wasn't crazy about the orange trim on the ibera and wanted a purple bag to match my bike. but the purple aduro bag is going back. i can definitely deal with the ibera orange trim because the quality is so much better."
2.0 out of 5 stars,"first, let's just say that i, at almost 60 years old, am just taking up the sport of cycling. i need to get in shape. so i know very little about bicycles and accessories. second, i waited for a few weeks before i wrote my review to make sure that (a) my inexperience is a factor in the review, and (b) i wanted to try to give this a shot and have it work in a way not advertised.i knew that i needed to get something to store a few things in as i ride. while this looked like a winner, when i received it, i was unable to put where i expected under the seat, anchored by velcro straps for the crossbar and the seat bar (sorry is this is not how these are identified). my water bottle was in the way -- and it's not even close. i tried to put this only using two straps on the crossbar, but it flops around so much as to be distracting when i ride.i won't use this anymore, but i might find a friend who could use this if their water bottle were mounted on the diagonal bar. too bad, it does have good storage space for my large android phone, spare tube, and miscellaneous other things.the seller should note this in the product description somewhere so that others don't experience the same frustration."
5.0 out of 5 stars,"compact yet can hold essentials. inexpensive. gave three stars for water resistance because i have not ridden in the rain with it and do not intend to ride in the rain unless caught out there. two stars for security as there is none. does not lock and even if it did you just undo the velcro straps and by by. if they mean how it secures to the bike than four stars, your not going to carry a ton of weight in this. i intend to put small tools and maybe my cell phone, it is sufficient for that. it is out of the way and comes in a color that should match your ride. would buy again."
5.0 out of 5 stars,"was planning a ""bike-packing"" trip with my son's explorer troop. needed additional storage space at hand so this was a nice addition to my set up. super easy to install and stays where you put it. enough space for a phone and charger, plus a small sunscreen, and a few bars for snacks. did not interfere with getting my mini-pump off the cross bar nor getting the water bottle out of the holder. got rained on and stuff inside stayed dry. got slopped with mud and it washed off easily with no damage to pouch. recommend!"
2.0 out of 5 stars,"i've had this bag about 3 months. i ride my local mtb trails (houston, tx) about 3 to 5 times a week and use this to carry my multi-tool, phone, keys, and a sweat rag. not much weight at all. as you can see in the picture, the threads are coming loose from the front strap. i could see this happening if i carried my handgun in it and rode rough trails, but i don't. i may attempt to sew it back, but the velcro straps are starting to shred and i'd rather just get something better.if you aren't planning on riding trails or doing anything rough, this may be fine. otherwise, look at other options."
3.0 out of 5 stars,i bought this product originally for my mountain bike to replace the under the seat pouch. i thought i read that this came in multiple sizes and i was hoping it would fit. the product sent was way too large for my trek mountain bike with the water bottle holder in the same area. i wish this would have been smaller.i was however able to use it on my trek road bike but it does feel quite large on that as well
2.0 out of 5 stars,"this aduro sport bicycle bike storage bag triangle saddle frame pouch was almost good enough to use.i finally got a weekend to use my bike. i went to attach the bag... and one of the velcro straps ripped immediately, rightat the seam - see pictures.i inspected the rest of the bag and all else at least seems to be intact.overall, this bag got good reviews, but i'm not one of the happy customers at this point.now i must go through the return process and wait another week or so to attempt to attach the newbag when it arrives."
2.0 out of 5 stars,"biggest problem is that they punched the plastic multiple times, for multiple tags, through the main parts of the bags and so there are holes everywhere! my product came ugly with holes in it, and they didnt even punch the plastic all the way through so some are stuck forever inside your back to slide, make noise, and poke. also, definitely not water resistant. at least it will do it's job..."
3.0 out of 5 stars,to make the bag nice and snug against the frame there is only about a half inch of velcro left to make the connection and there is about 4 inches of waste that has to be cut off or it will be on the way. if you have a bike with thick tubes then this will probably be great but for a touring bicycle it almost doesn't fit. i'll update how well the half an inch of velcro does after a few months of use
1.0 out of 5 stars,"i returned this item. it could hold a fair amount of gear given the small size, but i could not figure out how to attach the bag to the frame securely and snugly using the oddly very long velcro straps. i may be wrong, but it seemed to me that the straps were a design flaw--there seemed no way to attach snugly so that the bag doesn't sag away from the posts to which it is attached. also, the construction of the bag seemed quite flimsy."
5.0 out of 5 stars,"this seems well enough built. i will not be using the zipper too much i hope, so the highest wear item should last a long time. the same will be the case for the velcro straps as i have safe storage and will leave the bag on the bike.i keep a well stocked toolkit in it: extra tubes, 3 co2 cartridges, co2 pump\inflator, multi tool, tire levers, patch kit. there is still a little room for a couple energy bars.i will have to get a smaller water bottle as there is no longer room for a 22 oz. bottle on the seat tube."
5.0 out of 5 stars,"i usually have two phones on me, my personal and work phone. one i put on my phone holder on the handlebars and the other goes in the bag. i usually also take my wallet and either my keys or my garage door opener. all of this fits comfortably in the bag with plenty of space for more stuff. during my last bike ride, my wife and i got caught in the rain. i ended up putting her phone, which is kept in a wallet holder type case, in the bag as well. everything fit and came out nice and dry. overall, very pleased with this purchase."
3.0 out of 5 stars,"big enough to hold wallet, keys, mobile phone, bike tools, and snack bar. straps hold pretty tight, and it hasn't come apart after several months of 60km weekend rides. so it does what it is supposed to do.big problem is that it definitely is not waterproof. not even close. heavy rain will leak in, guaranteed, and light rain will leave everything feeling a bit damp. wrap tools in plastic, and don't leave gloves or rags in the bag, and it will be fine.so, basically, it's meh... nothing special, but it works."
3.0 out of 5 stars,"cool little pouch, fits on the bike nicely doesn’t get in the way seems secure. i take it out a couple times and it holds keys phone little dog dish. my only complaint was its packaging. it had some plastic ties through the fabric that left permanent little holes in multiple spots. it works, it was an expensive, however the packaging needs to be redone. there’s no reason to put holes in something that supposed to be water resistant."
5.0 out of 5 stars,"purchased this to go on my dirt bike - i ride in the country (in texas) and was looking for a bag that could carry a gun, in all honesty. we have feral hogs, bobcats, mountain lions, etc. where i bike. this bag fits my 9 mm ruger, an extra clip, sunglasses, headband, hex key set and chapstick. (i am fully aware that a 9 mm isn't going to stop a hog, but it can make them wary of you) it is easy to access on the bike, and easy to unzip, but it also stays zipped - does not vibrate the zipper) very happy with this bike bag!"
5.0 out of 5 stars,"this storage bag fits great on my aero bike. it holds plenty of storage(iphone 8 plus with case, keys, wallet and room for more.) i even put a can of coke in it and there was still plenty of space. although it blocks one of my bottle cages. it doesn’t block my main cage with a 25 oz bottle. i was worried that the straps weren’t going to be long enough for my wide aero frame, but there was more than enough length. as well as the option to cut the straps shorter."
5.0 out of 5 stars,i received my purchase on time and it was exactly as described. the case is well made and the colors matched my bike perfectly. i was looking for this style and i do not believe i could have found a better one! the velcro straps were the right length for my trek frame. i would purchase again if i needed another bag of this type!
4.0 out of 5 stars,"not a problem on a bike but if left in the sun it starts turning purple in 4 weeks. it's still water tight and handy storage, but i mounted mine outside and it's fading after a month. most bikes would be stored in a garage so not a problem. mine is on a boat, sitting on the rail 24/7. if you want it for outside and want it to remain black, get a different one or try protective coatings to block uv.everything else about this product was great."
5.0 out of 5 stars,"the bag is great for riding. it definitely serves its purpose. it holds plenty of stuff and definitely does not get in the way of riding, which was my biggest pep peeve.on a personal note (there's nothing wrong with the product), i have a diamondback override mtb with a 20"" frame and i have 2 bottle cages, one for my actual water bottle and the other for my bluetooth speaker. the triangle bag gets in the way of my 1st water bottle cage, not leaving me any space for my water bottle. if i switched them around then the triangle bar muffles the hell out of the bluetooth speaker, defeating the purpose of the speaker.i've decided to keep it anyway, maybe i'll get another bike or just gift it to someone. i do like it though."
5.0 out of 5 stars,"i purchased this frame bag mostly to hold extra stuff when i do rides over 50 miles. it fits securely on the frame with velcro straps that are long enough to accommodate any bike frame. any extra velcro can be cut off. the bag seems to be made well and it is big enough to hold my bike lock, iphone, gloves, energy bar and tire tools. i even stuffed a lightweight jacket in it once. for the money, you can't go wrong. it was shipped right away, packaged well and useable in a flash."
